tinestamp,car1_utm_x,car1_utm_y,car1_vel,car1_accel,car1_yaw,car2_utm_x,car2_utm_y,car2_vel_x,car2_vel_y,car2_accel,car2_yaw,estimate_utm_x,estimate_utm_y,estimate_vel_x,estimate_vel_y,estimate_accel,estimate_yaw
1609832177,60205.86229,2974186.206,-0.008507078,-0.043792725,2.033955097,60199.72918,2974199.367,0.008881665,0.010994723,0.042934814,2.007182235,60200.05836,2974198.67,0.022872158,-0.013359679,0.00178359,#NAME?
1609832177,60205.86319,2974186.206,-0.008491935,-0.044708252,2.0339818,60199.7302,2974199.368,0.010434383,0.013185998,0.005550781,2.007203008,60200.07823,2974198.671,0.002601952,-0.052686057,-0.060369045,#NAME?
1609832177,60205.86387,2974186.207,-0.009585645,-0.020294189,2.033939838,60199.73133,2974199.37,0.011152171,0.013623134,0.024319092,2.00717105,60200.06064,2974198.655,-0.023305243,0.008758741,-0.059283532,#NAME?
1609832177,60205.86455,2974186.207,-0.010675619,-0.012969971,2.033869505,60199.73252,2974199.371,0.011736285,0.014649292,0.031948486,2.007178507,60200.05609,2974198.667,-0.01087439,0.016622812,-0.024623019,#NAME?
1609832177,60205.86547,2974186.208,-0.011649798,-0.012512207,2.033892393,60199.73384,2974199.372,0.013388678,0.016966583,0.031338135,2.007114591,60200.05999,2974198.668,-0.000109457,0.050488077,0.061024727,#NAME?
1609832177,60205.86664,2974186.208,-0.003070975,-0.009460449,2.033938646,60199.73536,2974199.374,0.015307553,0.018745296,0.05407373,2.00714069,60200.05771,2974198.67,0.029524257,0.035456679,0.020911023,#NAME?
1609832177,60205.86469,2974186.207,-0.004068299,0.003509521,2.033914804,60199.73703,2974199.376,0.016305365,0.019316254,0.031338135,2.007127374,60200.06709,2974198.668,0.007304399,0.010214532,-0.03663683,#NAME?
1609832177,60205.86268,2974186.206,-0.00487193,-0.030975342,2.03394556,60199.73604,2974199.375,0.004017799,0.00500127,0.011501709,2.00717105,60200.08048,2974198.663,-0.023112955,-0.019520837,-0.108798715,#NAME?
1609832177,60205.86066,2974186.205,-0.00644915,-0.028533936,2.03391695,60199.73233,2974199.37,0.005616988,0.006582861,0.021114746,2.007131635,60200.07924,2974198.661,-0.043397173,-0.046615429,-0.099422367,#NAME?
1609832177,60205.86098,2974186.206,-0.008071634,-0.051574707,2.033911467,60199.7288,2974199.366,0.007245855,0.007949214,0.030117432,2.007210998,60200.07602,2974198.66,-0.041645834,-0.039504201,-0.050537371,#NAME?
1609832178,60205.86182,2974186.206,-0.00871947,0.006713867,2.033931732,60199.7296,2974199.367,0.00779007,0.009551706,0.046749512,2.00718117,60200.08236,2974198.659,-0.028011335,-0.031717224,0.021273622,#NAME?
